epoch,trainingAccuracy,stdTrainingAccuracy,testingAccuracy,stdTestingAccuracy
0,0.6,0.28939592256975566,0.4,0.37416573867739417
1,0.7,0.2806243040080456,0.4,0.37416573867739417
2,0.75,0.1767766952966369,0.3,0.24494897427831783
3,0.825,0.15,0.3,0.24494897427831783
4,0.825,0.15,0.5,0.31622776601683794
5,0.875,0.11180339887498948,0.5,0.31622776601683794
6,0.9,0.1224744871391589,0.5,0.31622776601683794
7,0.9,0.1224744871391589,0.5,0.31622776601683794
8,0.9,0.1224744871391589,0.6,0.37416573867739417
9,0.925,0.1,0.6,0.37416573867739417
10,0.925,0.1,0.6,0.37416573867739417
11,0.925,0.1,0.6,0.37416573867739417
12,0.925,0.1,0.6,0.37416573867739417
13,0.925,0.1,0.6,0.37416573867739417
14,0.95,0.09999999999999999,0.6,0.37416573867739417
